File,Line,Style Content,Is Legitimate,Priority
components/DynamicChart.tsx,372,"fontSize: '0.9rem',
              fontWeight: '600',
              color: '#4a5568',
              textTransform: 'uppercase',
              letterSpacing: '0.1em'",No,Low
components/DynamicChart.tsx,383,"width: '100%'",No,Low
components/DynamicChart.tsx,384,"fontSize: '0.85rem'",No,Low
components/DynamicChart.tsx,387,"width: '100%'",No,Low
components/DynamicChart.tsx,447,"width: '100%', height: '100%'",No,Low
components/DynamicChart.tsx,465,"fontSize: emojiSize,
            marginBottom: '1rem',
            lineHeight: 1",No,Low
components/DynamicChart.tsx,488,"fontSize: labelSize,
            fontWeight: '500',
            color: '#4a5568',
            marginTop: '0.5rem',
            maxWidth: '90%',
            whiteSpace: 'nowrap',
            overflow: 'hidden',
            textOverflow: 'ellipsis'",No,Low
components/DynamicChart.tsx,554,"position: 'relative', width: '100%'",No,Low
components/DynamicChart.tsx,560,"position: 'absolute',
          top: '10px',
          right: '10px',
          fontSize: '0.75rem',
          padding: '0.25rem 0.5rem',
          zIndex: 10,
          background: 'rgba(255, 255, 255, 0.95)',
          border: '1px solid rgba(99, 102, 241, 0.2)',
          borderRadius: '6px',
          boxShadow: '0 2px 4px rgba(0, 0, 0, 0.1)',
          color: '#4f46e5'",No,Low
components/DynamicChart.tsx,578,"background: 'rgba(255, 255, 255, 0.95)',
        backdropFilter: 'blur(10px)',
        borderRadius: '0.75rem',
        padding: '2rem',
        border: '1px solid rgba(255, 255, 255, 0.2)',
        boxShadow: '0 4px 6px rgba(0, 0, 0, 0.05)',
        width: '100%',
        height: '100%',
        overflow: 'hidden'",No,Low
components/DynamicChart.tsx,589,"marginBottom: '1.5rem'",No,Low
components/DynamicChart.tsx,590,"margin: '0 0 0.5rem 0', fontSize: '1.2rem', fontWeight: '600', color: '#1f2937'",No,Low
components/DynamicChart.tsx,593,"margin: '0 0 0', fontSize: '0.9rem', color: '#6b7280'",No,Low
components/EditorDashboard.tsx,479,"marginLeft: 8",No,Low
components/EditorDashboard.tsx,521,"color: '#6b7280'",No,Low
